Yukon,Tagliomento Transition,Piave,Ganges 1,Gandak,Ghaghara,Athabasca,Athabasca 2,Ucayali Anastomosing,Kasai ,Sungai Pomats Tributary,Strickland
168,202,147,104,77,129,1,348,4,344,116,104
188,181,142,92,118,106,357,347,332,325,158,146
248,204,133,64,159,99,36,12,306,312,173,168
290,197,132,110,53,140,60,80,54,302,164,203
339,169,125,79,153,186,72,55,18,357,151,232
314,148,129,30,97,146,79,0,339,340,128,215
296,124,125,31,64,193,88,336,315,325,85,199
281,89,116,350,168,147,49,322,292,307,121,200
264,74,127,355,150,83,47,290,37,282,149,181
234,103,126,14,127,122,44,351,349,252,170,167
231,107,127,41,109,156,32,39,282,236,184,190
203,143,130,68,134,204,49,61,246,293,157,174
171,170,135,76,149,74,92,90,281,308,138,129
134,173,123,81,160,48,54,95,313,302,162,88
99,191,113,90,178,18,44,72,55,307,184,72
116,190,112,116,187,33,29,61,46,310,181,65
133,208,118,148,196,76,27,79,350,335,188,88
152,198,131,160,194,89,53,91,2,352,200,118
226,225,122,164,192,108,68,54,351,316,197,122
266,245,113,137,213,74,59,34,342,300,210,146
275,289,99,119,206,56,46,44,304,336,222,195
285,254,90,79,200,110,37,353,275,306,267,150
267,216,82,58,186,174,53,88,300,299,237,136
248,176,81,42,176,90,44,110,330,307,230,126
210,165,76,95,171,32,32,37,343,317,189,151
182,151,89,70,219,88,26,31,356,301,150,156
133,136,106,55,207,147,44,15,23,305,134,177
153,127,110,17,195,151,66,20,340,318,194,199
177,117,123,324,181,129,78,17,328,0,194,214
209,102,132,354,159,167,69,16,320,355,184,192
214,94,140,24,180,173,52,42,304,319,178,159
171,89,147,5,143,163,36,13,296,296,186,141
230,109,161,16,218,186,26,346,335,347,245,140
260,133,171,40,177,177,18,331,8,327,206,121
175,145,182,97,237,155,13,310,358,332,173,96
252,155,202,39,166,134,2,385,2,289,214,132
125,170,221,19,193,137,5,365,0,296,187,139
121,185,237,1,139,137,16,294,341,269,155,165
172,219,239,0,112,107,25,317,320,319,164,142
211,236,228,41,89,130,346,352,301,298,206,191
221,206,225,78,114,122,355,26,295,350,231,185
237,152,226,353,146,118,17,48,277,335,180,189
258,158,215,74,173,89,7,67,241,318,181,158
263,150,219,80,141,115,350,24,258,331,195,128
277,148,214,73,75,113,60,60,284,338,179,98
270,131,206,354,151,160,349,35,300,314,198,73
283,117,209,28,215,122,26,348,325,326,162,58
290,128,220,355,140,125,10,346,323,291,215,59
272,128,216,38,114,196,356,345,308,315,186,78
254,133,213,56,136,164,353,19,322,263,158,122
221,163,186,88,154,130,350,25,236,282,171,107
182,189,161,76,174,100,349,41,280,307,208,84
138,201,158,349,139,90,342,82,288,280,215,114
151,211,152,42,139,117,341,119,353,19,217,155
169,223,149,67,140,131,351,126,12,335,205,191
192,229,145,128,147,169,8,59,59,311,222,211
224,230,140,76,100,130,24,28,122,277,210,150
218,231,135,62,143,111,10,350,88,311,202,166
265,241,135,56,170,85,350,330,131,343,186,214
177,225,129,41,85,49,3,14,107,306,195,278
252,219,126,31,83,37,38,51,68,306,234,241
251,219,128,47,142,34,348,81,16,340,212,204
307,227,130,87,157,49,324,119,343,316,192,165
269,243,132,123,122,87,358,61,311,305,170,100
284,257,127,139,106,116,14,20,302,328,137,77
