Niabrara,Rakaia,Tagliamento
50,101,163
69,127,159
121,164,171
86,146,116
61,170,183
103,105,182
47,80,197
126,136,233
81,91,213
102,89,153
117,109,182
64,84,160
100,113,152
37,143,189
81,114,220
66,127,159
100,165,197
116,172,184
104,122,202
76,133,155
129,178,179
80,68,244
100,65,179
48,106,141
73,139,175
86,127,198
122,66,211
124,127,159
120,111,186
95,122,185
65,103,200
107,128,143
33,155,206
121,104,188
55,171,165
93,192,141
39,122,118
66,100,140
113,83,165
108,106,175
86,149,215
105,130,223
66,109,239
59,121,141
73,89,159
23,175,231
108,83,149
67,83,222
104,140,158
51,104,241
126,113,152
116,125,190
75,152,149
45,106,236
37,120,213
117,149,153
107,113,176
171,134,212
119,174,186
72,71,172
157,89,257
